"key","message","comment","context"
"Export","导出","",""
"Export as CSV","导出为CSV","",""
"Export as PNG","导出为PNG","",""
"Export attached to current object. Would you like to download?","导出已附加到当前对象。要下载吗？","",""
"Export full","导出全部","",""
"Failed","失败","",""
"Failed to copy","复制失败","",""
"Failed to parse the given JSON theme : incorrect syntax was encountered.","JSON主题分析失败：遇到错误的语法。","",""
"False","假","",""
"Favorite","收藏","",""
"Field name","字段名称","",""
"Field type","字段类型","",""
"File","文件","",""
"File does not exist.","Le fichier n’existe pas.","",""
"File upload","上传文件","",""
"File {0} does not exist.","Le fichier {0} n’existe pas.","",""
"Filter","筛选","",""
"Filters","筛选","",""
"Filters ({0})","筛选({0})","",""
"Fixed line","固定电话","",""
"Fixed line or mobile","固话或手机","",""
"Folder","文件夹","",""
"Followers","关注者","",""
"Font","字体","",""
"Font color","字体颜色","",""
"Font size","字体大小","",""
"Forgot password?","忘记密码？","",""
"Formatted","已格式化","",""
"Free Memory","空闲内存","",""
"GB","GB","",""
"Go","运行","",""
"Go back to sign in page","返回登录页面","",""
"Go to home","前往首页","",""
"Grid requires at least one field.","列表必须至少包含一个字段。","",""
"Group by","分组依据","",""
"Grouped","已分组","",""
"Groups","组","",""
"Header 1","标题1","",""
"Header 2","标题2","",""
"Header 3","标题3","",""
"Header 4","标题4","",""
"Header 5","标题5","",""
"Header 6","标题6","",""
"Hide","隐藏","",""
"Hide legend","隐藏图例","",""
"Hide password","隐藏密码","",""
"Home page","首页","",""
"Identity Verification","身份验证","",""
"If an account exists with this email address, you will receive a password reset link.","如果此邮箱存在关联账户，您将收到密码重置链接。","",""
"Include archived","包含归档","",""
"Increment","递增","",""
"Indent","增加缩进","",""
"Information","信息","",""
"Insert image","插入图片","",""
"Insert link","插入链接","",""
"Insert.Key","插入","",""
"Internal Server Error","服务器内部错误","",""
"Invalid request","无效请求","",""
"Invalid use of ""{0}"" action, must be the last action.","操作""{0}""使用不正确，必须是最后一个操作。","",""
"Invalid verification code","验证码不正确","",""
"Italic (Ctrl+I)","斜体（Ctrl+I）","",""
"Java Runtime","Java运行时","",""
"Java Version","Java版本","",""
"Justify","两端对齐","",""
"Keyboard Shortcuts","键盘快捷键","",""
"Language","语言","",""
"Language code","语言代码","",""
"Large","大","",""
"Larger","较大","",""
"Last access time","最后访问时间","",""
"Last modified...","最后修改...","",""
"License","许可证","",""
"Load more","加载更多","",""
"Loading...","加载中...","",""
"Loading…","加载中…","",""
"Log in time","登录时间","",""
"Log out","登出","",""
"MB","MB","",""
"Main navigation","主导航","",""
"Maintenance","维护","",""
"Manage translations","管理翻译","",""
"Mark as important","标记为重要","",""
"Mark as not important","标记为不重要","",""
"Mark as read","标记为已读","",""
"Mark as unread","标记为未读","",""
"Mass Update","批量更新","",""
"Max","最大值","",""
"Max Memory","最大内存","",""
"Medium","中等","",""
"Memory","内存","",""
"Message actions","消息操作","",""
"Messages","消息","",""
"Min","最小值","",""
"Mobile","手机","",""
"Model...","模型...","",""
"Modified","已修改","",""
"Month","月","",""
"Months","月","",""
"More","更多","",""
"More actions","更多操作","",""
"More details...","更多详情...","",""
"Move to archive","移至归档","",""
"Move to inbox","移至收件箱","",""
"My Filters","我的筛选","",""
"Name","名称","",""
"New","新建","",""
"New Document","新文档","",""
"New Folder","新文件夹","",""
"New Spreadsheet","新电子表格","",""
"New password","新密码","",""
"New password must be different.","新密码必须不同。","",""
"Next","下一步","",""
"No","否","",""
"No filters available","无可用的筛选","",""
"No records found.","未找到数据。","",""
"No results found","未找到结果","",""
"None","无","",""
"Normal","正常","",""
"Normalize","标准化","",""
"Not available","不可用","",""
"Notifications","通知","",""
"Now","现在","",""
"OK","确定","",""
"Object","对象","",""
"Oops!","哎呀！","",""
"Open URL","打开URL","",""
"Operating System","操作系统","",""
"Ordered list","有序列表","",""
"Organize favorites...","整理收藏夹…","",""
"Orig. value","原始值","",""
"Other options","其他选项","",""
"Others","其他","",""
"Outdent","减少缩进","",""
"Owner","所有者","",""
"Page navigation","页面导航","",""
"Page not found","页面未找到","",""
"Page size limited to {0} records","每页大小限制为{0}条记录","",""
"PageDown.Key","下一页","",""
"PageUp.Key","上一页","",""
"Pager","分页器","",""
"Parent","父级","",""
"Password","密码","",""
"Passwords do not match.","密码不匹配。","",""
"Pending","待处理","",""
"Permissions {0}","权限{0}","",""
"Permissions...","权限...","",""
"Personal number","个人号码","",""
"Please check back later. Thank you for your patience.","请稍后再试。感谢您的耐心等待。","",""
"Please contact your administrator if the problem persists.","如果问题仍然存在，请联系您的管理员。","",""
"Please select at least one record.","请至少选择一条记录。","",""
"Please wait...","请稍候...","",""
"Post","发送","",""
"Preferences","偏好设置","",""
"Premium rate","付费号码","",""
"Previous","上一个","",""
"Quarter","季度","",""
"Quarters","季度","",""
"Question","问题","",""
"Quick Menus","快速菜单","",""
"Recipients","收件人","",""
"Reconnecting…","重新连接…","",""
"Recovery code","恢复代码","",""
"Reference","引用","",""
"Refresh","刷新","",""
"Refreshed at","刷新于","",""
"Reload","重新加载","",""
"Remove","移除","",""
"Remove color","移除颜色","",""
"Remove format","移除格式","",""
"Remove translation","删除翻译","",""
"Rename...","重命名...","",""
"Report attached to current object. Would you like to download?","报表已附加到当前对象。要下载吗？","",""
"Resend email","Renvoyer l’email","",""
"Resend email in ({0})s","Renvoyer l’email dans ({0})s","",""
"Reset","重置","",""
"Reset password","重置密码","",""
"Reset your password","重置您的密码","",""
"Retry","重试","",""
"Save","保存","",""
"Save as","另存为","",""
"Save column widths","保存列宽","",""
"Save filter as","将筛选另存为","",""
"Search","搜索","",""
"Search Objects","搜索对象","",""
"Search in filters...","在筛选中搜索...","",""
"Search menu...","搜索菜单...","",""
"Search more...","更多结果...","",""
"Search results","搜索结果","",""
"Search...","搜索...","",""
"Select","选择","",""
"Select all rows","选择所有行","",""
"Select items","选择项目","",""
"Select row","选择行","",""
"Selection","选择","",""
"Service disabled","服务已禁用","",""
"Share","分享","",""
"Shared cost","分摊费用","",""
"Shortcuts","快捷键","",""
"Show","显示","",""
"Show help","显示帮助","",""
"Show json content","显示JSON内容","",""
"Show legend","显示图例","",""
"Show password","显示密码","",""
"Showing all items.","所有项目已显示。","",""
"Showing {0} of {1} items.","显示{1}项中的{0}项。","",""
"Sign in","登录","",""
"Site under maintenance","网站正在维护","",""
"Small","较小","",""
"Smaller","小","",""
"Some files can't be downloaded. Please check them and retry.","某些文件无法下载。请检查并重试。","",""
"Sorry, something went wrong. Please try again later.","抱歉，发生错误。请稍后重试。","",""
"Sort Ascending","升序排序","",""
"Sort Descending","降序排序","",""
"Spreadsheet","电子表格","",""
"Stacked","堆叠","",""
"Strikethrough (Ctrl+S)","删除线（Ctrl+S）","",""
"Style","样式","",""
"Subject","主题","",""
"Sum","求和","",""
"Switch view","切换视图","",""
"System Information","系统信息","",""
"TB","TB","",""
"Tasks due","到期任务","",""
"Tasks todo","待办任务","",""
"Tenant","租户","",""
"The audit log related to update and creation isn't available for the record.","与该记录的更新和创建相关的审计日志不可用。","",""
"The record has been updated or deleted by another action.","该记录已被其他操作修改或删除。","",""
"There are no records to update.","没有记录需要更新。","",""
"This page is automatically reloaded every 30 seconds.","此页面每30秒自动重新加载。","",""
"Title","标题","",""
"Today","Aujourd’hui","",""
"Toggle","切换","",""
"Toggle content","切换内容","",""
"Toggle fullscreen","全屏","",""
"Toggle navigation","切换导航","",""
"Toll free","免费","",""
"Tomorrow","明天","",""
"Total Memory","总内存","",""
"Translate","翻译","",""
"Translation","翻译","",""
"Translation text","翻译文本","",""
"Translations","翻译","",""
"True","真","",""
"Try to refresh this page or contact your support service if the problem persists.","请尝试刷新此页面，或如果问题仍然存在请联系您的支持服务。","",""
"Two-factor authentication","双因素认证","",""
"Type","类型","",""
"UAN","UAN","",""
"Unable to send verification email.","无法发送验证邮件。","",""
"Unarchive","取消归档","",""
"Underline (Ctrl+U)","下划线（Ctrl+U）","",""
"Unexpected error occurred","发生了意外错误","",""
"Ungroup","取消分组","",""
"Unknown","未知","",""
"Unordered list","无序列表","",""
"Update","更新","",""
"Update all","全部更新","",""
"Updated By","更新者","",""
"Updated On","更新时间","",""
"Upload","上传","",""
"Upload complete","上传完成","",""
"Upload failed","上传失败","",""
"Uploading files...","正在上传文件...","",""
"Used Memory","已用内存","",""
"User","用户","",""
"User Menu","用户菜单","",""
"Username","Nom d’utilisateur","",""
"Validate","验证","",""
"Value","值","",""
"Verification code","验证码","",""
"Verification code sent successfully. Please check your emails.","验证码已成功发送。请查收邮件。","",""
"Verify","验证","",""
"Version","版本","",""
"View","视图","",""
"View toolbar","视图工具栏","",""
"View...","视图...","",""
"VoIP","VoIP","",""
"Voicemail","语音邮件","",""
"Warning","警告","",""
"Week","周","",""
"Weeks","周","",""
"Would you like to reload the current record?","是否要刷新当前记录？","",""
"Would you like to reload the record?","是否要刷新记录？","",""
"Would you like to remove the filter?","是否要删除筛选？","",""
"Write an email","写邮件","",""
"Write your comment here","输入您的评论","",""
"Wrong current username or password","Mauvais nom d’utilisateur ou mot de passe actuel","",""
"Wrong username or password","Mauvais nom d’utilisateur ou mot de passe","",""
"Year","年","",""
"Years","年","",""
"Yes","是","",""
"Yesterday","昨天","",""
"You are not allowed to upload a file bigger than {0} MB.","您未被授权上传超过{0}MB的文件。","",""
"You are not authorized to access this resource.","您未被授权访问此资源。","",""
"Your new password must","您的新密码必须","",""
"Your password has been successfully changed.","您的密码已成功更改。","",""
"Your password reset token is invalid or expired.","您的密码重置令牌无效或已过期。","",""
"[Last] dddd","dddd [最后]","",""
"and","和","",""
"bytes","字节","",""
"close the current view tab","fermer l’onglet de la vue actuelle","",""
"contains","包含","",""
"create new record","创建新记录","",""
"delete current/selected record(s)","删除当前记录或选定的记录","",""
"doesn't contain","不包含","",""
"duplicate current record","copier l’enregistrement actuel","",""
"edit selected record","编辑选定的记录","",""
"equals","等于","",""
"focus first or selected item in view","聚焦视图中的第一个或选定项目","",""
"focus left menu search box","聚焦左侧菜单搜索框","",""
"greater or equal","大于或等于","",""
"greater than","大于","",""
"in","在","",""
"in range","介于","",""
"in the current","在当前","",""
"in the next","在未来","",""
"in the past","在过去","",""
"is current group","是当前组","",""
"is current user","est l’utilisateur courant","",""
"is empty","为空","",""
"is false","为假","",""
"is not empty","n’est pas vide","",""
"is not null","不为空","",""
"is null","为空","",""
"is true","为真","",""
"items","项","",""
"kB","KB","",""
"less or equal","小于或等于","",""
"less than","小于","",""
"load more","加载更多","",""
"navigate to next page/record","naviguer vers la page suivante ou l’enregistrement suivant","",""
"navigate to previous page/record","导航到上一页或上一条记录","",""
"no messages","无消息","",""
"no tasks","无任务","",""
"not equal","不等于","",""
"not in","不在","",""
"not in range","不介于","",""
"or","或","",""
"or sign in with","或使用以下方式登录","",""
"refresh current view","刷新当前视图","",""
"replies ({0} of {1})","回复（{0}/{1}）","",""
"save current record","enregistrer l’enregistrement actuel","",""
"search for records","搜索记录","",""
"toggle left menu","切换左侧菜单","",""
"{0} is editing since {1}","{0} 正在编辑 {1}","",""
"{0} is invalid","{0} 无效","",""
"{0} is not in proper format","{0} n’est pas au bon format","",""
"{0} is required","{0} 是必填的","",""
"{0} is too big","{0} 太大","",""
"{0} is too small","{0} 太小","",""
"{0} joined {1}","{0} 加入了 {1}","",""
"{0} left {1}","{0} 离开了 {1}","",""
"{0} messages","{0} 条消息","",""
"{0} of {1}","{0}/{1}","",""
"{0} records exported.","已导出{0}条记录。","",""
"{0} saved {1}","{0} 保存了 {1}","",""
"{0} tasks","{0} 个任务","",""
"{0} to {1} of {2}","{0} 到 {1}，共 {2}","",""
